
##Rare
Icon|Name|Rarity|Type|Max HP|Max Atk|Max Def|Passive Skill|Link Skill
[](#wc-trunks4)|[Trunks (Teen) - From Hell and Back](https://i.imgur.com/H6zhVZ6.jpg)| R | [AGL](/agl) | 4703 | 3787 | 2778 | Ki +2 and ATK +500 for first attack only | [The Vegeta Family](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Cold Judgment](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Messenger from the Future](/r/DBZDokkanBattle/wiki/characters "+500 ATK")
[](#wc-vegeta1)|[Vegeta - Invader from Afar](http://i.imgur.com/83EsmIY.png)| R | [STR](/str) | 5079 | 4148 | 2789 | Rare chance of increasing ATK by 100% | [Saiyan Warrior Race](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [The Vegeta Family](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Big Bad Bosses](/r/DBZDokkanBattle/wiki/characters "ATK +25% when HP is 10% or below"), [Prodigies](/r/DBZDokkanBattle/wiki/characters "+700 ATK"), [Over 9000](/r/DBZDokkanBattle/wiki/characters "ATK + 10%")
[](#wc-videl1)|[Videl - Buried Passion](http://imgur.com/lF1awVz)| R | [STR](/str) | 4482 | 3259 | 2566  | [TEQ](/teq) and [STR](/str) Type ATK +700 | [The Hercule Family](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Cold Judgment](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Money Money Money](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Courage](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Battlefield Diva](/r/DBZDokkanBattle/wiki/characters "Ki +2")
[](#wc-videl2)|[Videl - Paragon of Justice](http://i.imgur.com/xhD634d.jpg)| R | [AGL](/agl) | 3483 | 3172 | 2550 | Reduce STR Type opponents' ATk by 20% | [The Hercule Family](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Cold Judgment](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Money Money Money](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%"), [Battlefield Diva](/r/DBZDokkanBattle/wiki/characters "Ki +2")
[](#wc-yajirobe)|[Yajirobe - A Moment's Chance](http://i.imgur.com/k5hup9f.jpg)| R | [PHY](/phy) | 4020 | 3108 | 3413 | ATK +1500 when 3rd to attack | [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF"), [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%"), [Coward](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Flee](/r/DBZDokkanBattle/wiki/characters "Ki +1 when HP is 30% or below")
[](#wc-yajirobe1)|[Yajirobe - Cowardly Savior](http://i.imgur.com/0BVdYgx.png)| R | [PHY](/phy) | 4525 | 3007 | 2928 | DEF +1000 for all allies | [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF"), [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%"), [Coward](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Flee](/r/DBZDokkanBattle/wiki/characters "Ki +1 when HP is 30% or below")
[](#wc-yakon1)|[Yakon - Light-Devouring Beast](http://i.imgur.com/vMHSMiP.jpg)| R | [AGL](/agl) | 4539 | 3290 | 2549 | Deliver the final blow for ATK +25% next attack | [Evil Autocrats](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-yamcha1)|[Yamcha - The One and Only](http://i.imgur.com/wlhio8B.jpg)| R | [TEQ](/teq) | 4455 | 3210 | 2909 | Rare chance of reducing all opponents' ATK by 50% | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Turtle School](/r/DBZDokkanBattle/wiki/characters "+500 ATK, +500 DEF"), [Speedy Retribution](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%"), [Rival Duo](/r/DBZDokkanBattle/wiki/characters "-1000 DEF on attacked opponent, +500 ATK")
[](#wc-yamcha2)|[Yamcha - Unwavering Confidence](http://i.imgur.com/qoKExI1.jpg)| R | [AGL](/agl) | 5162 | 3685 | 2732 | Opponents DEF -30% when Ki meter is 5 or more | [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Turtle School](/r/DBZDokkanBattle/wiki/characters "+500 ATK, +500 DEF"), [Speedy Retribution](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%"), [Rival Duo](/r/DBZDokkanBattle/wiki/characters "-1000 DEF on attacked opponent, +500 ATK")
[](#wc-yamu1)|[Yamu - Malicious Scheme](http://i.imgur.com/vU1ZrWj.jpg)| R | [TEQ](/teq) | 4566 | 3203 | 2361 | ---- | [Evil Autocrats](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Demon Duo](/r/DBZDokkanBattle/wiki/characters "ATK up 20%"), [Berserker](/r/DBZDokkanBattle/wiki/characters "ATK +20% when HP is 10% or below")
[](#wc-zarbon)|[Zarbon - Confident Grin](http://i.imgur.com/nYn1LLz.jpg)| R | [PHY](/phy) | 4890 | 3298 | 3232 | ATK +1500 when Ki is 10 or more | [Metamorphosis](/r/DBZDokkanBattle/wiki/characters "HP 5% recovery"), [Frieza's Army](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Frieza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-zarbon1)|[Zarbon - Display of Strength](http://i.imgur.com/1WqK24G.png)| R | [STR](/str) | 4819 | 3584 | 2888 | Occasionally increase ATK by 25% | [Metamorphosis](/r/DBZDokkanBattle/wiki/characters "HP 5% recovery"), [Frieza's Army](/r/DBZDokkanBattle/wiki/characters "+1000 DEF"), [Frieza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")


##Normal
Icon|Name|Rarity|Type|Max HP|Max Atk|Max Def|Passive Skill|Link Skill
-|:-:|:-:|:-:|:-:|:-:|:-:|:-:|-
[](#wc-appule)|[Appule - Steadfast Soldier](http://i.imgur.com/ywoqaqa.png)| N | [STR](/str) | 2730 | 2212 | 1613 |----|[Frieza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-babidiminion)|[Babidi's Minion - Loyal Servant](http://i.imgur.com/HE0HdPb.jpg)|N | [INT](/int) | 3094 | 2221 | 2006 |----|[Evil Autocrats](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-celljr)|[Cell Jr. - Simple-Minded Devil](http://imgur.com/RG6thkp)| N | [AGL](/agl) | 3296 | 2284 | 2400 |----|[Attack of the Clones](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [The Innocents](/r/DBZDokkanBattle/wiki/characters "ATK up 10%")
[](#wc-celljr)|[Cell Jr. - Simple-Minded Devil](http://imgur.com/Hv68SF6)| N | [TEQ](/teq) | 3414 | 2345 | 2264 |----|[Attack of the Clones](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [The Innocents](/r/DBZDokkanBattle/wiki/characters "ATK up 10%")
[](#wc-celljr)|[Cell Jr. - Simple-Minded Devil](http://imgur.com/YqCbcWH)| N | [INT](/int) | 3583 | 2393 | 2543 |----|[Attack of the Clones](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [The Innocents](/r/DBZDokkanBattle/wiki/characters "ATK up 10%")
[](#wc-celljr)|[Cell Jr. - Simple-Minded Devil](http://imgur.com/1YNgR57)| N | [STR](/str) | 3194 | 2643 | 2002 |----|[Attack of the Clones](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [The Innocents](/r/DBZDokkanBattle/wiki/characters "ATK up 10%")
[](#wc-celljr)|[Cell Jr. - Simple-Minded Devil](http://imgur.com/MaCR35O)| N | [PHY](/phy) | 3465 | 2169 | 2754 | ---- |[Attack of the Clones](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [The Innocents](/r/DBZDokkanBattle/wiki/characters "ATK up 10%")
[](#wc-chiaotzu)|[Chiaotzu - Anticipated Telekinesis](http://i.imgur.com/ey7hwWs.jpg)| N |[INT](/int)|2990|2053|2413| ---- |[Crane School](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK")
[](#wc-cui)|[Cui - Fierce Raider](http://i.imgur.com/Gdu5EK7.jpg)| N |[STR](/str)| 2654 | 2301 | 2183 |----|[Coward](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Freiza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-friezaminion)|[Frieza Soldier - Lethal Underling](http://i.imgur.com/FPGYiR8.png)| N |[AGL](/agl)| 2935 | 2191 | 1827 | ---- | [Freiza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-friezaminion)|[Frieza Soldier - Lethal Underling](http://i.imgur.com/SKxThm9.png)| N |[TEQ](/teq)| 3088 | 2073 | 1897 | ---- | [Freiza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-friezaminion)|[Frieza Soldier - Lethal Underling](http://i.imgur.com/4fnq7qx.png)| N |[INT](/int)| 3075 | 2174 | 2127 | ---- | [Freiza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-friezaminion)|[Frieza Soldier - Lethal Underling](http://i.imgur.com/pOhTkDP.png)| N |[STR](/str)| 2921 | 2302 | 1694 | ---- | [Freiza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-friezaminion)|[Frieza Soldier - Lethal Underling](http://i.imgur.com/lIy6HVM.jpg)| N |[PHY](/phy)| 2669 | 2023 | 2414 |----|[Freiza's Minion](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-hercule)|[Hercule - Undisputed Champion](http://imgur.com/nUloCG3) | N |[INT](/int)| 2859 | 2203 | 2041 | Deliver the final blow for ATK +25% next attack | [World Tournament Champion](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [The Hercule Family](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Hero](/r/DBZDokkanBattle/wiki/characters "Def up 20%"), [Money Money Money](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [World Tournament Reborn](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-jewel)|[Jewel - Capable in Love and War](http://i.imgur.com/Td4WhNm.jpg) | N | [TEQ](/teq) | 2366 | 2006 | 2049 |----|[World Tournament Reborn](/r/DBZDokkanBattle/wiki/characters "+300 Atk")
[](#wc-killa)|[Killa - Well Trained Fist](http://i.imgur.com/7mrLRAZ.png) | N | [STR](/str) | 2899 | 2024 | 1763 |----|[World Tournament Reborn](/r/DBZDokkanBattle/wiki/characters "+300 Atk")
[](#wc-pintar)|[Pintar - Unarmed Power](http://i.imgur.com/8cznUbw.png) | N | [AGL](/agl) | 2964 | 2102 | 1633 | Deliver the final blow for ATK +25% next attack |[World Tournament Reborn](/r/DBZDokkanBattle/wiki/characters "+300 Atk"), [More Than Meets the Eye](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-piraterobot)|[Pirate Robot - Deep Sea Guardian](http://i.imgur.com/Q9z9j4f.jpg) | N | [TEQ](/teq) | 3403 | 2018 | 1905 |----| [Mechanical Menaces](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-puipui)|[Pui Pui - Warrior from Planet Voon](http://i.imgur.com/xuyFvT9.png) | N | [AGL](/agl) | 3136 | 2491 | 1834 | Deliver the final blow for ATK +25% next attack| [Evil Autocrats](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-rrarmy)|[Red Ribbon Army - Infamous Army](http://imgur.com/F1nXJ6S) | N | [AGL](/agl) | 2769 | 2175 | 1639 |----|[RR Army](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-rrarmy)|[Red Ribbon Army - Army of Infamy](http://i.imgur.com/K8s8cfD.png) | N | [TEQ](/teq) | 2639 | 1858 | 2101 |----|[RR Army](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-rrarmy)|[Red Ribbon Army - Infamous Army](http://i.imgur.com/V22rpAK.png) | N | [INT](/int) | 2977 | 1946 | 2146 |----|[RR Army](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-rrarmy)|[Red Ribbon Army - Infamous Army](http://i.imgur.com/yepe5xE.png) | N | [STR](/str) | 2847 | 1978 | 1847 |----|[RR Army](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-rrarmy)|[Red Ribbon Army - Infamous Army](http://i.imgur.com/tjHLAnX.png) | N | [PHY](/phy) | text | text | text |----|[RR Army](/r/DBZDokkanBattle/wiki/characters "+300 ATK")
[](#wc-saibaman)|[Saibamen - Earthborn Warrior](http://i.imgur.com/f53LP1C.png) | N | [AGL](/agl) | 2633 | 2299 | 2036 |----|[Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%"), [New](/r/DBZDokkanBattle/wiki/characters "+200 ATK")
[](#wc-saibaman)|[Saibamen - Earthborn Warrior](http://i.imgur.com/0GbAcaQ.png) | N | [TEQ](/teq) | 3304 | 2223 | 1812 |----|[Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%"), [New](/r/DBZDokkanBattle/wiki/characters "+200 ATK")
[](#wc-saibaman)|[Saibamen - Earthborn Warrior](http://i.imgur.com/jm37iRP.png) | N | [INT](/int) | 3598 | 2152 | 2102 |----|[Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%"), [New](/r/DBZDokkanBattle/wiki/characters "+200 ATK")
[](#wc-saibaman)|[Saibamen - Earthborn Warrior](http://i.imgur.com/DaDO6SW.png) | N | [STR](/str) | 3232 | 2252 | 1795 |----|[Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%"), [New](/r/DBZDokkanBattle/wiki/characters "+200 ATK")
[](#wc-saibaman)|[Saibamen - Earthborn Warrior](http://i.imgur.com/4T9YSij.jpg) | N | [PHY](/phy) | 3130 | 2000 | 2417 |----|[Infighter](/r/DBZDokkanBattle/wiki/characters "Opponent DEF down 5%"), [New](/r/DBZDokkanBattle/wiki/characters "+200 ATK")
[](#wc-spopovich)|[Spopovich - Ominous Will](http://i.imgur.com/AOODVK2.jpg) | N | [PHY](/phy) | 3393 | 1950 | 2194 |----|[Brutal Beatdown](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Tough as Nails](/r/DBZDokkanBattle/wiki/characters "+1500 DEF"), [Evil Autocrats](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-tien)|[Tien - The Way of Battle ](http://i.imgur.com/kHN9fWy.jpg) | N | [STR](/str) | 3331 | 2411 | 1901 |----|[Crane School](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK")
[](#wc-videl)|[Videl - Slayer of Evil ](http://i.imgur.com/no3MY7b.jpg) | N | [STR](/str) | 2949 | 2107 | 1925 |----|[The Hercule Family](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Cold Judgment](/r/DBZDokkanBattle/wiki/characters "+300 ATK"), [Money Money Money](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Infighter](/r/DBZDokkanBattle/wiki/characters "Opponents DEF down 5%"), [Battlefield Diva](/r/DBZDokkanBattle/wiki/characters "Ki +2")
[](#wc-yakon)|[Yakon - Assassin in the Shadows ](http://i.imgur.com/KiTTTsb.png)| N | [AGL](/agl) | 2981 | 2260 | 1926 |----|[Evil Autocrats](/r/DBZDokkanBattle/wiki/characters "+1 Ki")
[](#wc-yamcha)|[Yamcha - Wolf of the Gale ](http://i.imgur.com/fqORZA6.jpg) | N | [TEQ](/teq) | 3120 | 2242 | 2348 |----|[Z Fighters](/r/DBZDokkanBattle/wiki/characters "+500 ATK"), [Turtle School](/r/DBZDokkanBattle/wiki/characters "+500 ATK, +500 DEF")
[](#wc-yamu)|[Yamu - Wicked of Heart](http://i.imgur.com/aGraamC.png) | N | [INT](/int) | 3605 | 2193 | 1890 |Deliver the final blow for ATK +25% next attack|[Evil Autocrats](/r/DBZDokkanBattle/wiki/characters "+1 Ki"), [Demon Duo](/r/DBZDokkanBattle/wiki/characters "ATK up 20%")
